"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Mobilitätsziffer","deutsch",2024,"Stadt München",177.6,39313,55560,46797,55560,1110801.6,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"01 Altstadt - Lehel",224.3,811,885,768,1024,15549.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"02 Ludwigsvorstadt - Isarvorstadt",247.7,2011,2362,1983,2741,36723.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"03 Maxvorstadt",275.2,2493,2656,2286,3091,38247.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"04 Schwabing - West",215,2383,3057,2480,3225,51843.7,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"05 Au - Haidhausen",190.3,1963,2583,1991,2696,48527.4,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"06 Sendling",196,1092,1692,1256,1730,29435.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"07 Sendling - Westpark",176.1,1450,2081,1865,2105,42584.6,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"08 Schwanthalerhöhe",200.3,764,1089,869,1173,19441,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"09 Neuhausen - Nymphenburg",191.4,2883,4252,2994,4112,74400.5,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"10 Moosach",156.7,1031,1512,1487,1714,36661,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"11 Milbertshofen - Am Hart",175,1576,1876,1907,2271,43590.2,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"12 Schwabing - Freimann",199.2,2348,2695,2574,3012,53356.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"13 Bogenhausen",156.6,2100,2896,2699,2889,67605.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"14 Berg am Laim",151.5,853,1263,1223,1314,30716.9,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"15 Trudering - Riem",141.5,1521,2265,2193,2058,56813.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"16 Ramersdorf - Perlach",141.1,1969,3006,2791,3062,76727.3,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"17 Obergiesing - Fasangarten",188.1,1369,1939,1701,1846,36437.3,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"18 Untergiesing - Harlaching",184.2,1348,2199,1843,2007,40166.1,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",169.5,2311,3628,2843,3214,70781.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"20 Hadern",142.8,904,1415,1336,1379,35263.3,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"21 Pasing - Obermenzing",158.6,1830,2766,2239,2661,59879.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"22 Aubing - Lochhausen - Langwied",163.7,1183,2461,1456,1340,39350.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"23 Allach - Untermenzing",154,712,1249,950,1161,26445.6,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"24 Feldmoching - Hasenbergl",141.7,1012,1782,1375,1670,41212.1,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2024,"25 Laim",181.9,1396,1951,1688,2065,39039,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"Stadt München",180.6,39710,56716,47371,56716,1110069.2,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"01 Altstadt - Lehel",231.2,844,985,723,1035,15515.9,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"02 Ludwigsvorstadt - Isarvorstadt",245,1978,2285,1924,2802,36686.5,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"03 Maxvorstadt",274.2,2461,2576,2247,3176,38152.2,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"04 Schwabing - West",212.3,2292,2988,2437,3308,51927,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"05 Au - Haidhausen",212.8,2071,2991,2191,2983,48104.1,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"06 Sendling",199,1053,1625,1318,1871,29480.3,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"07 Sendling - Westpark",175.5,1567,2092,1721,2115,42716.7,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"08 Schwanthalerhöhe",207.1,752,1112,896,1286,19533.2,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"09 Neuhausen - Nymphenburg",193.8,2634,4218,3139,4350,73999.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"10 Moosach",154.6,1057,1639,1312,1687,36826.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"11 Milbertshofen - Am Hart",179.3,1593,1995,1887,2358,43697.7,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"12 Schwabing - Freimann",202.4,2422,2812,2490,3118,53568.2,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"13 Bogenhausen",155.3,2033,2767,2907,2848,67985.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"14 Berg am Laim",154.2,859,1320,1245,1338,30878.6,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"15 Trudering - Riem",142.9,1453,2314,2334,2044,56981.9,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"16 Ramersdorf - Perlach",149.4,2269,3248,2864,3087,76773.2,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"17 Obergiesing - Fasangarten",201.1,1434,2153,1765,1956,36342.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"18 Untergiesing - Harlaching",188.3,1431,2299,1791,2058,40258.4,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",169.4,2285,3563,2989,3127,70612.2,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"20 Hadern",153.4,1035,1593,1361,1440,35385.7,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"21 Pasing - Obermenzing",169.6,1870,3129,2363,2795,59885.4,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"22 Aubing - Lochhausen - Langwied",170.4,1347,2318,1517,1277,37904.7,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"23 Allach - Untermenzing",142.2,694,1173,935,961,26463.7,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"24 Feldmoching - Hasenbergl",135.6,961,1654,1401,1575,41232.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2023,"25 Laim",176.7,1315,1867,1614,2121,39156,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"Stadt München",189.5,40141,59334,51656,59334,1110787.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"01 Altstadt - Lehel",229.3,766,896,801,1083,15465.1,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"02 Ludwigsvorstadt - Isarvorstadt",271.2,2156,2551,2203,3059,36761.3,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"03 Maxvorstadt",289.7,2556,2673,2480,3316,38055.9,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"04 Schwabing - West",221.5,2414,2983,2707,3450,52172,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"05 Au - Haidhausen",221.4,2036,3174,2359,3033,47886.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"06 Sendling",210,1108,1788,1558,1781,29694.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"07 Sendling - Westpark",189.9,1553,2295,1914,2329,42603.3,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"08 Schwanthalerhöhe",215.2,804,1154,942,1322,19623.3,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"09 Neuhausen - Nymphenburg",200.6,2684,4256,3475,4495,74321.8,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"10 Moosach",175.4,1150,1885,1546,1861,36723.3,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"11 Milbertshofen - Am Hart",193.4,1686,2193,2124,2477,43850,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"12 Schwabing - Freimann",206.4,2276,2765,2732,3331,53801.9,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"13 Bogenhausen",159.1,2045,2961,2997,2899,68511.6,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"14 Berg am Laim",165.4,826,1438,1386,1480,31011.5,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
"Mobilitätsziffer","deutsch",2022,"15 Trudering - Riem",148.6,1478,2489,2360,2151,57034.7,"außerstädtisch Zugezogene (deutsch)","innerstädtisch Zugezogene (auch innerhalb der räumlichen Einheit) (deutsch)","außerstädtisch Weggezogene (deutsch)","innerstädtisch Weggezogene (auch innerhalb der räumlichen Einheit) (deutsch)","mittlere Hauptwohnsitzbevölkerung (deutsch)"
